code,date,termination_date,timestamp,exact,status,country,provider,mobile_subscriptions_2009,mobile_subscriptions_2010,mobile_subscriptions_2011,mobile_subscriptions_2012,mobile_subscriptions_2013,mobile_subscriptions_2014,mobile_subscriptions_2015,mobile_subscriptions_2016,gdp_2009,gdp_2010,gdp_2011,gdp_2012,gdp_2013,gdp_2014,gdp_2015,gdp_2016,individual_net_usage_2009,individual_net_usage_2010,individual_net_usage_2011,individual_net_usage_2012,individual_net_usage_2013,individual_net_usage_2014,individual_net_usage_2015,individual_net_usage_2016
BMU,,,,,,,,131.1,135.8,,139.5,144.3,90.9,57.9,,5.81,5.74,5.55,5.54,5.57,0.00,0.00,0.00,83.25,84.21,88.34,91.30,95.30,96.80,98.32,98.00
BOL,6/19/2015,,1434672000,Exact,Added,Bolivia,VIVA,64.7,70.7,80.9,90.4,97.7,96.3,92.2,90.7,17.34,19.65,23.96,27.08,30.66,33.00,33.00,33.81,16.80,22.40,30.00,35.34,36.99,34.60,35.56,39.70
BRA,,,,,Planned,Brazil ,,87.5,100.9,119.0,125.0,135.3,139.0,126.6,118.9,1667.02,2208.87,2616.20,2465.19,2472.81,2455.99,1803.65,1796.19,39.22,40.65,45.69,48.56,51.04,54.55,58.33,59.68
BRB,10/13/2016,,1476316800,Not exact,Added,Barbados,Digicel,120.8,124.8,123.5,123.3,108.1,106.8,116.5,115.0,4.43,4.46,4.66,4.66,4.61,4.61,4.58,4.53,64.70,65.10,66.50,71.20,71.80,75.16,76.11,79.55
BRN,,,,,,,,104.7,108.6,109.0,113.9,112.2,106.8,108.1,120.7,10.73,13.71,18.53,19.05,18.09,17.10,12.93,11.40,49.00,53.00,56.00,60.27,64.50,68.77,71.20,75.00
BTN,,,,,,,,48.1,55.0,66.4,75.6,72.2,81.6,87.0,88.8,1.26,1.59,1.82,1.82,1.80,1.94,2.06,2.21,7.17,13.60,14.40,15.60,22.40,30.30,39.80,41.77
BWA,,,,,,,,96.0,120.0,146.0,153.8,160.6,167.3,169.0,158.5,10.27,12.79,15.68,14.69,14.92,16.26,14.43,15.58,6.15,6.00,9.00,16.00,30.00,36.74,37.31,39.36
CAF,,,,,,,,20.2,22.5,22.4,25.3,29.5,24.5,25.9,25.5,1371.15,1613.46,1788.65,1824.29,1842.63,1792.88,1552.81,1529.76,1.80,2.00,2.20,3.00,3.40,3.60,3.80,4.00
CAN,,,,,,,,70.5,75.7,77.8,79.6,80.6,81.0,83.0,84.1,1.98,1.99,2.21,2.18,1.52,1.70,1.58,1.76,80.30,80.30,83.00,83.00,85.80,87.12,88.47,89.84
CEB,,,,,,,,118.7,120.7,123.6,128.0,130.2,129.1,126.0,127.5,1281.58,1313.82,1446.82,1351.35,1422.42,1463.36,1285.57,1312.16,54.87,58.35,58.86,61.51,63.29,66.33,67.20,71.19
CHE,,,,,,,,120.4,123.2,127.4,132.1,136.8,136.7,136.5,135.6,541.51,583.78,699.58,668.04,688.50,709.18,679.29,668.85,81.30,83.90,85.19,85.20,86.34,87.40,87.48,89.41
CHI,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,
CHL,5/30/2014,,1401408000,Not exact,Prohibited,Chile,,96.8,115.8,128.9,137.1,134.3,133.2,129.5,127.1,172.39,218.54,252.25,267.12,278.38,260.99,242.52,247.03,41.56,45.00,52.25,55.05,58.00,61.11,64.29,66.01
CHN,,,,,,,,55.3,63.2,72.1,80.8,88.7,92.3,92.2,96.9,5109.95,6100.62,7572.55,8560.55,9607.22,10482.40,11064.70,11199.10,28.90,34.30,38.30,42.30,45.80,47.90,50.30,53.20
CIV,8/5/2017,,1501891200,Not exact,Added,Côte D’ivoire,MTN,70.9,82.2,89.4,91.2,95.4,106.2,119.3,126.0,24.28,24.88,25.38,27.04,31.27,35.37,33.15,36.37,2.00,2.70,2.90,5.00,12.00,19.27,21.89,26.53
CMR,,,,,,,,39.8,41.9,49.6,60.4,70.4,75.7,71.8,68.1,26.02,26.14,29.34,29.10,32.35,34.94,30.92,32.22,3.84,4.30,5.00,7.50,10.00,16.21,20.68,25.00
COD,8/1/2015,,1438387200,Not exact,Added,Democratic Republic of the Congo,Vodacom,15.6,19.0,24.5,30.6,41.8,53.5,53.0,39.5,0.00,20.52,23.85,27.46,30.01,34.03,36.19,31.93,0.56,0.72,1.20,1.68,2.20,3.00,3.80,6.21
COG,12/5/2015,,1449273600,Missing Data,Added,Congo,Airtel,73.8,90.4,91.9,98.8,104.8,108.1,111.7,113.3,9.59,12.01,14.43,13.68,14.09,14.18,8.55,7.83,4.50,5.00,5.60,6.11,6.60,7.11,7.62,8.12
COL,1/1/2015,,1420070400,Not exact,Added,Colombia,Tigo,92.0,95.8,98.1,102.9,104.1,113.1,115.7,117.1,233.82,287.02,335.42,369.66,380.19,378.20,291.52,282.46,30.00,36.50,40.35,48.98,51.70,52.57,55.90,58.14
COM,,,,,,,,18.4,24.2,30.9,39.5,47.3,50.9,55.2,57.7,0.52,0.53,0.59,0.57,0.62,0.65,0.57,0.62,3.50,5.10,5.50,5.98,6.50,6.98,7.46,7.94
CPV,5/10/2016,,1462838400,Missing Data,Added,Cape Verde,Unitel,59.8,76.3,80.8,86.0,100.1,121.8,118.6,122.0,1.71,1.66,1.86,1.75,1.85,1.86,1.57,1.62,21.00,30.00,32.00,34.74,37.50,40.26,47.96,48.17
